player_name,team_name,minute,shot_statsbomb_xg,shot_outcome_name,shot_technique_name,shot_body_part_name,x,y,is_goal
Jorge Resurrección Merodio,Atlético Madrid,41,0.010791656,Saved,Normal,Right Foot,114.4,56.9,0
Diego Roberto Godín Leal,Atlético Madrid,42,0.12398144,Off T,Normal,Head,113.7,43.9,0
Toni Kroos,Real Madrid,44,0.018591944,Blocked,Volley,Left Foot,94.6,31.2,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,47,0.11787379,Off T,Normal,Right Foot,106.3,53.3,0
Antoine Griezmann,Atlético Madrid,52,0.09759231,Goal,Normal,Left Foot,106.0,34.2,1
Saúl Ñíguez Esclapez,Atlético Madrid,65,0.17032517,Saved,Half Volley,Left Foot,113.2,49.7,0
Borja Mayoral Moya,Real Madrid,66,0.037803035,Wayward,Normal,Left Foot,104.4,25.3,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,67,0.15261666,Saved,Normal,Head,111.1,41.0,0
Borja Mayoral Moya,Real Madrid,70,0.078938276,Saved,Volley,Left Foot,113.2,29.8,0
Luka Modrić,Real Madrid,77,0.04877809,Blocked,Half Volley,Right Foot,106.8,52.1,0
Saúl Ñíguez Esclapez,Atlético Madrid,82,0.0058082617,Saved,Volley,Left Foot,100.8,68.0,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,83,0.058315195,Saved,Normal,Head,112.4,46.3,0
Antoine Griezmann,Atlético Madrid,85,0.009663647,Off T,Normal,Left Foot,99.6,61.5,0
Danilo Luiz da Silva,Real Madrid,87,0.059004232,Off T,Normal,Left Foot,105.6,25.3,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,93,0.015110582,Blocked,Half Volley,Right Foot,94.4,29.9,0
Francisco Román Alarcón Suárez,Real Madrid,2,0.07956796,Blocked,Normal,Right Foot,115.2,29.3,0
Sergio Ramos García,Real Madrid,7,0.0344619,Saved,Normal,Head,109.0,40.3,0
Duje Čop,Málaga,13,0.047389127,Off T,Normal,Left Foot,96.9,46.3,0
Jesé Rodríguez Ruiz,Real Madrid,16,0.03979054,Saved,Normal,Right Foot,113.9,54.4,0
Francisco Román Alarcón Suárez,Real Madrid,17,0.058371257,Off T,Half Volley,Left Foot,107.4,26.1,0
Juan Pablo Añor Acosta,Málaga,18,0.33108515,Saved,Normal,Left Foot,101.0,40.8,0
Ricardo Jorge Luz Horta,Málaga,20,0.24282447,Off T,Normal,Left Foot,109.1,33.1,0
Jesé Rodríguez Ruiz,Real Madrid,23,0.18028583,Saved,Normal,Right Foot,109.9,48.3,0
Ricardo Jorge Luz Horta,Málaga,25,0.03172832,Blocked,Half Volley,Right Foot,105.9,52.7,0
Marcelo Vieira da Silva Júnior,Real Madrid,29,0.017907329,Off T,Half Volley,Right Foot,94.6,29.1,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,32,0.07718809,Goal,Normal,Head,108.2,45.6,1
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,35,0.7835,Saved,Normal,Right Foot,108.1,40.1,0
Duje Čop,Málaga,38,0.42841065,Saved,Normal,Left Foot,108.4,32.2,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,55,0.060080916,Saved,Normal,Left Foot,100.9,51.6,0
Juan Pablo Añor Acosta,Málaga,58,0.058993768,Blocked,Normal,Left Foot,108.8,29.1,0
Duje Čop,Málaga,58,0.044963066,Off T,Half Volley,Right Foot,103.7,29.9,0
Francisco Román Alarcón Suárez,Real Madrid,59,0.053570997,Blocked,Normal,Right Foot,107.9,54.2,0
Roberto José Rosales Altuve,Málaga,61,0.06043429,Saved,Lob,Right Foot,103.3,49.0,0
Francisco Román Alarcón Suárez,Real Madrid,62,0.038504615,Off T,Normal,Head,110.0,34.8,0
Pablo Fornals Malla,Málaga,65,0.044500925,Blocked,Normal,Right Foot,99.5,32.4,0
Raúl Albentosa Redal,Málaga,65,0.2389999,Goal,Half Volley,Right Foot,111.4,45.5,1
Marcelo Vieira da Silva Júnior,Real Madrid,71,0.06032571,Off T,Normal,Left Foot,107.5,25.3,0
Charles Días Barbosa de Oliveira,Málaga,74,0.0353736,Saved,Normal,Head,105.2,50.8,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,78,0.078554705,Off T,Normal,Right Foot,103.1,53.9,0
James David Rodríguez Rubio,Real Madrid,92,0.035778597,Saved,Volley,Left Foot,103.7,49.2,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,2,0.12688906,Goal,Normal,Right Foot,108.4,28.0,1
Aritz Aduriz Zubeldia,Athletic Club,7,0.12673,Off T,Normal,Head,111.1,41.6,0
Mateo Kovačić,Real Madrid,8,0.08505644,Saved,Volley,Right Foot,113.3,45.9,0
Javier Eraso Goñi,Athletic Club,9,0.5064808,Goal,Normal,Right Foot,114.0,42.5,1
Aritz Aduriz Zubeldia,Athletic Club,18,0.11016061,Saved,Normal,Head,111.4,40.1,0
Danilo Luiz da Silva,Real Madrid,23,0.058722764,Saved,Normal,Head,112.6,48.9,0
Aritz Aduriz Zubeldia,Athletic Club,28,0.09836327,Post,Normal,Right Foot,112.9,34.5,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,29,0.04403039,Saved,Normal,Right Foot,99.9,28.7,0
James David Rodríguez Rubio,Real Madrid,31,0.18447934,Blocked,Normal,Left Foot,107.6,38.6,0
Óscar de Marcos Arana,Athletic Club,33,0.15065137,Off T,Normal,Left Foot,106.5,48.9,0
Mateo Kovačić,Real Madrid,34,0.04201511,Blocked,Normal,Right Foot,98.3,35.1,0
Aritz Aduriz Zubeldia,Athletic Club,34,0.14523068,Blocked,Half Volley,Right Foot,109.7,46.5,0
James David Rodríguez Rubio,Real Madrid,36,0.028416753,Goal,Normal,Left Foot,95.0,46.2,1
Sabin Merino Zuloaga,Athletic Club,38,0.038514387,Saved Off Target,Normal,Head,106.9,40.6,0
Sabin Merino Zuloaga,Athletic Club,38,0.06487073,Blocked,Volley,Right Foot,109.3,47.7,0
Mateo Kovačić,Real Madrid,43,0.014868139,Off T,Half Volley,Right Foot,95.7,35.5,0
Toni Kroos,Real Madrid,44,0.21494228,Goal,Normal,Right Foot,105.1,35.6,1
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,52,0.05523411,Blocked,Normal,Right Foot,100.5,25.3,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,52,0.020197501,Saved,Half Volley,Right Foot,101.7,24.9,0
Karim Benzema,Real Madrid,55,0.013643366,Off T,Normal,Right Foot,91.9,25.1,0
Sabin Merino Zuloaga,Athletic Club,64,0.03600226,Off T,Normal,Head,106.2,42.5,0
Mateo Kovačić,Real Madrid,66,0.06371023,Off T,Normal,Right Foot,97.8,38.2,0
Aritz Aduriz Zubeldia,Athletic Club,67,0.3128544,Saved,Normal,Right Foot,104.1,38.0,0
James David Rodríguez Rubio,Real Madrid,79,0.0676463,Blocked,Normal,Left Foot,103.1,43.2,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,80,0.053438928,Saved,Normal,Right Foot,103.6,24.0,0
Karim Benzema,Real Madrid,81,0.084148794,Off T,Half Volley,Right Foot,106.0,37.6,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,86,0.24237533,Goal,Normal,Right Foot,110.0,34.5,1
Francisco Román Alarcón Suárez,Real Madrid,87,0.047926165,Blocked,Normal,Right Foot,100.4,41.3,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,87,0.4212822,Saved,Normal,Right Foot,111.0,32.4,0
Gorka Elustondo Urkola,Athletic Club,89,0.09080934,Goal,Normal,Head,110.8,44.8,1
Sergio Enrich Ametller,Eibar,12,0.014949923,Saved,Normal,Right Foot,91.0,29.6,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,14,0.37049276,Saved,Lob,Right Foot,104.1,35.2,0
Mateo Kovačić,Real Madrid,14,0.058787953,Off T,Half Volley,Right Foot,95.6,35.8,0
Danilo Luiz da Silva,Real Madrid,17,0.019157004,Saved,Normal,Right Foot,101.5,21.5,0
Takashi Inui,Eibar,18,0.036923774,Saved,Normal,Right Foot,104.4,25.8,0
Gareth Frank Bale,Real Madrid,26,0.02185084,Blocked,Normal,Left Foot,101.0,56.5,0
Daniel García Carrillo,Eibar,29,0.026898833,Off T,Volley,Left Foot,96.2,39.2,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,32,0.03531359,Blocked,Normal,Head,105.6,34.8,0
Gareth Frank Bale,Real Madrid,39,0.026513005,Blocked,Normal,Right Foot,100.5,52.3,0
Luka Modrić,Real Madrid,40,0.025958532,Saved,Normal,Right Foot,95.3,52.0,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,41,0.022625228,Blocked,Normal,Left Foot,103.1,24.9,0
Gareth Frank Bale,Real Madrid,42,0.08781786,Goal,Normal,Head,113.2,36.2,1
Gareth Frank Bale,Real Madrid,45,0.35984823,Saved,Normal,Left Foot,109.4,38.3,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,53,0.03487592,Blocked,Normal,Right Foot,89.7,31.4,0
Ander Capa Rodríguez,Eibar,53,0.007098317,Wayward,Half Volley,Right Foot,89.6,53.9,0
